name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,2.4999999999977263e-02,2.4999999999206126e-02,1.4611857200512901e+02,1.4350377633220381e+02
branch0_seg0,1.1111111111111116e-01,2.5000000000011371e-02,2.5000000000583888e-02,1.4611856193029917e+02,1.4350376625304727e+02
branch0_seg0,2.2222222222222210e-01,2.4999999999994315e-02,2.4999999999606181e-02,1.4611856560052371e+02,1.4350376992597094e+02
branch0_seg0,3.3333333333333326e-01,2.5000000000002846e-02,2.5000000000246627e-02,1.4611856510737900e+02,1.4350376943103632e+02
branch0_seg0,4.4444444444444442e-01,2.4999999999998579e-02,2.4999999999856557e-02,1.4611856427558905e+02,1.4350376860046779e+02
branch0_seg0,5.5555555555555536e-01,2.5000000000000713e-02,2.5000000000076607e-02,1.4611856546357598e+02,1.4350376978762000e+02
branch0_seg0,6.6666666666666652e-01,2.4999999999999648e-02,2.4999999999963642e-02,1.4611856436236451e+02,1.4350376868696961e+02
branch0_seg0,7.7777777777777768e-01,2.5000000000000178e-02,2.5000000000013966e-02,1.4611856522150353e+02,1.4350376954574168e+02
branch0_seg0,8.8888888888888884e-01,2.4999999999999915e-02,2.4999999999997313e-02,1.4611856461880603e+02,1.4350376894327604e+02
branch0_seg0,1.0000000000000000e+00,2.5000000000000043e-02,2.4999999999997833e-02,1.4611856500804745e+02,1.4350376933237681e+02
branch0_seg1,0.0000000000000000e+00,2.4999999999206126e-02,2.4999999998415050e-02,1.4350377633220381e+02,1.4097252751753405e+02
branch0_seg1,1.1111111111111116e-01,2.5000000000583888e-02,2.5000000001169653e-02,1.4350376625304727e+02,1.4097251743817313e+02
branch0_seg1,2.2222222222222210e-01,2.4999999999606181e-02,2.4999999999209641e-02,1.4350376992597094e+02,1.4097252111209917e+02
branch0_seg1,3.3333333333333326e-01,2.5000000000246627e-02,2.5000000000495490e-02,1.4350376943103632e+02,1.4097252061587164e+02
branch0_seg1,4.4444444444444442e-01,2.4999999999856557e-02,2.4999999999711617e-02,1.4350376860046779e+02,1.4097251978655513e+02
branch0_seg1,5.5555555555555536e-01,2.5000000000076607e-02,2.5000000000154059e-02,1.4350376978762000e+02,1.4097252097265931e+02
branch0_seg1,6.6666666666666652e-01,2.4999999999963642e-02,2.4999999999926876e-02,1.4350376868696961e+02,1.4097251987280578e+02
branch0_seg1,7.7777777777777768e-01,2.5000000000013966e-02,2.5000000000028076e-02,1.4350376954574168e+02,1.4097252073101498e+02
branch0_seg1,8.8888888888888884e-01,2.4999999999997313e-02,2.4999999999994613e-02,1.4350376894327604e+02,1.4097252012892261e+02
branch0_seg1,1.0000000000000000e+00,2.4999999999997833e-02,2.4999999999995623e-02,1.4350376933237681e+02,1.4097252051779009e+02
branch0_seg2,0.0000000000000000e+00,2.4999999998415050e-02,2.4999999997618337e-02,1.4097252751753405e+02,1.3843710620960911e+02
branch0_seg2,1.1111111111111116e-01,2.5000000001169653e-02,2.5000000001758262e-02,1.4097251743817313e+02,1.3843709613385963e+02
branch0_seg2,2.2222222222222210e-01,2.4999999999209641e-02,2.4999999998811664e-02,1.4097252111209917e+02,1.3843709980726942e+02
branch0_seg2,3.3333333333333326e-01,2.5000000000495490e-02,2.5000000000745086e-02,1.4097252061587164e+02,1.3843709931014092e+02
branch0_seg2,4.4444444444444442e-01,2.4999999999711617e-02,2.4999999999566303e-02,1.4097251978655513e+02,1.3843709848216966e+02
branch0_seg2,5.5555555555555536e-01,2.5000000000154059e-02,2.5000000000231722e-02,1.4097252097265931e+02,1.3843709966697486e+02
branch0_seg2,6.6666666666666652e-01,2.4999999999926876e-02,2.4999999999889985e-02,1.4097251987280578e+02,1.3843709856817659e+02
branch0_seg2,7.7777777777777768e-01,2.5000000000028076e-02,2.5000000000042259e-02,1.4097252073101498e+02,1.3843709942561347e+02
branch0_seg2,8.8888888888888884e-01,2.4999999999994613e-02,2.4999999999991866e-02,1.4097252012892261e+02,1.3843709882404389e+02
branch0_seg2,1.0000000000000000e+00,2.4999999999995623e-02,2.4999999999993437e-02,1.4097252051779009e+02,1.3843709921258070e+02
branch0_seg3,0.0000000000000000e+00,2.4999999997618337e-02,2.4999999996816506e-02,1.3843710620960911e+02,1.3590177346872130e+02
branch0_seg3,1.1111111111111116e-01,2.5000000001758262e-02,2.5000000002349514e-02,1.3843709613385963e+02,1.3590176340018024e+02
branch0_seg3,2.2222222222222210e-01,2.4999999998811664e-02,2.4999999998412320e-02,1.3843709980726942e+02,1.3590176707167740e+02
branch0_seg3,3.3333333333333326e-01,2.5000000000745086e-02,2.5000000000995393e-02,1.3843709931014092e+02,1.3590176657397194e+02
branch0_seg3,4.4444444444444442e-01,2.4999999999566303e-02,2.4999999999420611e-02,1.3843709848216966e+02,1.3590176574747667e+02
branch0_seg3,5.5555555555555536e-01,2.5000000000231722e-02,2.5000000000309584e-02,1.3843709966697486e+02,1.3590176693071137e+02
branch0_seg3,6.6666666666666652e-01,2.4999999999889985e-02,2.4999999999852984e-02,1.3843709856817659e+02,1.3590176583323802e+02
branch0_seg3,7.7777777777777768e-01,2.5000000000042259e-02,2.5000000000056512e-02,1.3843709942561347e+02,1.3590176668968704e+02
branch0_seg3,8.8888888888888884e-01,2.4999999999991866e-02,2.4999999999989083e-02,1.3843709882404389e+02,1.3590176608879298e+02
branch0_seg3,1.0000000000000000e+00,2.4999999999993437e-02,2.4999999999991276e-02,1.3843709921258070e+02,1.3590176647690006e+02
branch0_seg4,0.0000000000000000e+00,2.4999999996816506e-02,2.4999999996011033e-02,1.3590177346872130e+02,1.3336444533499011e+02
branch0_seg4,1.1111111111111116e-01,2.5000000002349514e-02,2.5000000002942488e-02,1.3590176340018024e+02,1.3336443527705435e+02
branch0_seg4,2.2222222222222210e-01,2.4999999998412320e-02,2.4999999998012178e-02,1.3590176707167740e+02,1.3336443894535500e+02
branch0_seg4,3.3333333333333326e-01,2.5000000000995393e-02,2.5000000001246071e-02,1.3590176657397194e+02,1.3336443844733344e+02
branch0_seg4,4.4444444444444442e-01,2.4999999999420611e-02,2.4999999999274734e-02,1.3590176574747667e+02,1.3336443762248035e+02
branch0_seg4,5.5555555555555536e-01,2.5000000000309584e-02,2.5000000000387549e-02,1.3590176693071137e+02,1.3336443880385323e+02
branch0_seg4,6.6666666666666652e-01,2.4999999999852984e-02,2.4999999999815923e-02,1.3590176583323802e+02,1.3336443770798542e+02
branch0_seg4,7.7777777777777768e-01,2.5000000000056512e-02,2.5000000000070802e-02,1.3590176668968704e+02,1.3336443856322492e+02
branch0_seg4,8.8888888888888884e-01,2.4999999999989083e-02,2.4999999999986273e-02,1.3590176608879298e+02,1.3336443796316257e+02
branch0_seg4,1.0000000000000000e+00,2.4999999999991276e-02,2.4999999999989135e-02,1.3590176647690006e+02,1.3336443835073891e+02
branch0_seg5,0.0000000000000000e+00,2.4999999996011033e-02,2.4999999995202343e-02,1.3336444533499011e+02,1.3082916976917022e+02
branch0_seg5,1.1111111111111116e-01,2.5000000002942488e-02,2.5000000003537019e-02,1.3336443527705435e+02,1.3082915972504273e+02
branch0_seg5,2.2222222222222210e-01,2.4999999998012178e-02,2.4999999997611277e-02,1.3336443894535500e+02,1.3082916338896860e+02
branch0_seg5,3.3333333333333326e-01,2.5000000001246071e-02,2.5000000001497123e-02,1.3336443844733344e+02,1.3082916289083516e+02
branch0_seg5,4.4444444444444442e-01,2.4999999999274734e-02,2.4999999999128671e-02,1.3336443762248035e+02,1.3082916206782033e+02
branch0_seg5,5.5555555555555536e-01,2.5000000000387549e-02,2.5000000000465615e-02,1.3336443880385323e+02,1.3082916324702438e+02
branch0_seg5,6.6666666666666652e-01,2.4999999999815923e-02,2.4999999999778803e-02,1.3336443770798542e+02,1.3082916215305096e+02
branch0_seg5,7.7777777777777768e-01,2.5000000000070802e-02,2.5000000000085124e-02,1.3336443856322492e+02,1.3082916300685505e+02
branch0_seg5,8.8888888888888884e-01,2.4999999999986273e-02,2.4999999999983438e-02,1.3336443796316257e+02,1.3082916240778272e+02
branch0_seg5,1.0000000000000000e+00,2.4999999999989135e-02,2.4999999999987008e-02,1.3336443835073891e+02,1.3082916279472622e+02
branch0_seg6,0.0000000000000000e+00,2.4999999995202343e-02,2.4999999994391457e-02,1.3082916976917022e+02,1.2829607429418718e+02
branch0_seg6,1.1111111111111116e-01,2.5000000003537019e-02,2.5000000004132515e-02,1.3082915972504273e+02,1.2829606426689719e+02
branch0_seg6,2.2222222222222210e-01,2.4999999997611277e-02,2.4999999997209973e-02,1.3082916338896860e+02,1.2829606792536524e+02
branch0_seg6,3.3333333333333326e-01,2.5000000001497123e-02,2.5000000001748349e-02,1.3082916289083516e+02,1.2829606742727228e+02
branch0_seg6,4.4444444444444442e-01,2.4999999999128671e-02,2.4999999998982527e-02,1.3082916206782033e+02,1.2829606660631990e+02
branch0_seg6,5.5555555555555536e-01,2.5000000000465615e-02,2.5000000000543723e-02,1.3082916324702438e+02,1.2829606778303312e+02
branch0_seg6,6.6666666666666652e-01,2.4999999999778803e-02,2.4999999999741656e-02,1.3082916215305096e+02,1.2829606669125079e+02
branch0_seg6,7.7777777777777768e-01,2.5000000000085124e-02,2.5000000000099474e-02,1.3082916300685505e+02,1.2829606754338940e+02
branch0_seg6,8.8888888888888884e-01,2.4999999999983438e-02,2.4999999999980583e-02,1.3082916240778272e+02,1.2829606694546771e+02
branch0_seg6,1.0000000000000000e+00,2.4999999999987008e-02,2.4999999999984902e-02,1.3082916279472622e+02,1.2829606733167498e+02
branch0_seg7,0.0000000000000000e+00,2.4999999994391457e-02,2.4999999993579582e-02,1.2829607429418718e+02,1.2576354979799216e+02
branch0_seg7,1.1111111111111116e-01,2.5000000004132515e-02,2.5000000004728216e-02,1.2829606426689719e+02,1.2576353979041453e+02
branch0_seg7,2.2222222222222210e-01,2.4999999997209973e-02,2.4999999996808714e-02,1.2829606792536524e+02,1.2576354344242681e+02
branch0_seg7,3.3333333333333326e-01,2.5000000001748349e-02,2.5000000001999482e-02,1.2829606742727228e+02,1.2576354294447998e+02
branch0_seg7,4.4444444444444442e-01,2.4999999998982527e-02,2.4999999998836456e-02,1.2829606660631990e+02,1.2576354212583972e+02
branch0_seg7,5.5555555555555536e-01,2.5000000000543723e-02,2.5000000000621792e-02,1.2829606778303312e+02,1.2576354329972614e+02
branch0_seg7,6.6666666666666652e-01,2.4999999999741656e-02,2.4999999999704519e-02,1.2829606669125079e+02,1.2576354221043934e+02
branch0_seg7,7.7777777777777768e-01,2.5000000000099474e-02,2.5000000000113827e-02,1.2829606754338940e+02,1.2576354306067823e+02
branch0_seg7,8.8888888888888884e-01,2.4999999999980583e-02,2.4999999999977717e-02,1.2829606694546771e+02,1.2576354246406994e+02
branch0_seg7,1.0000000000000000e+00,2.4999999999984902e-02,2.4999999999982803e-02,1.2829606733167498e+02,1.2576354284943650e+02
branch0_seg8,0.0000000000000000e+00,2.4999999993579582e-02,2.4999999992767450e-02,1.2576354979799216e+02,1.2323293891778719e+02
branch0_seg8,1.1111111111111116e-01,2.5000000004728216e-02,2.5000000005323722e-02,1.2576353979041453e+02,1.2323292893264743e+02
branch0_seg8,2.2222222222222210e-01,2.4999999996808714e-02,2.4999999996407726e-02,1.2576354344242681e+02,1.2323293257728554e+02
branch0_seg8,3.3333333333333326e-01,2.5000000001999482e-02,2.5000000002250399e-02,1.2576354294447998e+02,1.2323293207954886e+02
branch0_seg8,4.4444444444444442e-01,2.4999999998836456e-02,2.4999999998690525e-02,1.2576354212583972e+02,1.2323293126349182e+02
branch0_seg8,5.5555555555555536e-01,2.5000000000621792e-02,2.5000000000699782e-02,1.2576354329972614e+02,1.2323293243420470e+02
branch0_seg8,6.6666666666666652e-01,2.4999999999704519e-02,2.4999999999667417e-02,1.2576354221043934e+02,1.2323293134772311e+02
branch0_seg8,7.7777777777777768e-01,2.5000000000113827e-02,2.5000000000128170e-02,1.2576354306067823e+02,1.2323293219582546e+02
branch0_seg8,8.8888888888888884e-01,2.4999999999977717e-02,2.4999999999974851e-02,1.2576354246406994e+02,1.2323293160069466e+02
branch0_seg8,1.0000000000000000e+00,2.4999999999982803e-02,2.4999999999980715e-02,1.2576354284943650e+02,1.2323293198511540e+02
branch0_seg9,0.0000000000000000e+00,2.4999999992767450e-02,2.4999999991956269e-02,1.2323293891778719e+02,1.2070205032426429e+02
branch0_seg9,1.1111111111111116e-01,2.5000000005323722e-02,2.5000000005918267e-02,1.2323292893264743e+02,1.2070204036416398e+02
branch0_seg9,2.2222222222222210e-01,2.4999999996407726e-02,2.4999999996007476e-02,1.2323293257728554e+02,1.2070204400057743e+02
branch0_seg9,3.3333333333333326e-01,2.5000000002250399e-02,2.5000000002500820e-02,1.2323293207954886e+02,1.2070204350307772e+02
branch0_seg9,4.4444444444444442e-01,2.4999999998690525e-02,2.4999999998544884e-02,1.2323293126349182e+02,1.2070204268989535e+02
branch0_seg9,5.5555555555555536e-01,2.5000000000699782e-02,2.5000000000777619e-02,1.2323293243420470e+02,1.2070204385707679e+02
branch0_seg9,6.6666666666666652e-01,2.4999999999667417e-02,2.4999999999630384e-02,1.2323293134772311e+02,1.2070204277371623e+02
branch0_seg9,7.7777777777777768e-01,2.5000000000128170e-02,2.5000000000142492e-02,1.2323293219582546e+02,1.2070204361944189e+02
branch0_seg9,8.8888888888888884e-01,2.4999999999974851e-02,2.4999999999971982e-02,1.2323293160069466e+02,1.2070204302595444e+02
branch0_seg9,1.0000000000000000e+00,2.4999999999980715e-02,2.4999999999978637e-02,1.2323293198511540e+02,1.2070204340932324e+02
branch0_seg10,0.0000000000000000e+00,2.4999999991956269e-02,2.4999999991147222e-02,1.2070205032426429e+02,1.1816875679104402e+02
branch0_seg10,1.1111111111111116e-01,2.5000000005918267e-02,2.5000000006511106e-02,1.2070204036416398e+02,1.1816874685847588e+02
branch0_seg10,2.2222222222222210e-01,2.4999999996007476e-02,2.4999999995608421e-02,1.2070204400057743e+02,1.1816875048587390e+02
branch0_seg10,3.3333333333333326e-01,2.5000000002500820e-02,2.5000000002750482e-02,1.2070204350307772e+02,1.1816874998860513e+02
branch0_seg10,4.4444444444444442e-01,2.4999999998544884e-02,2.4999999998399691e-02,1.2070204268989535e+02,1.1816874917860702e+02
branch0_seg10,5.5555555555555536e-01,2.5000000000777619e-02,2.5000000000855224e-02,1.2070204385707679e+02,1.1816875034188911e+02
branch0_seg10,6.6666666666666652e-01,2.4999999999630384e-02,2.4999999999593462e-02,1.2070204277371623e+02,1.1816874926197092e+02
branch0_seg10,7.7777777777777768e-01,2.5000000000142492e-02,2.5000000000156768e-02,1.2070204361944189e+02,1.1816875010507670e+02
branch0_seg10,8.8888888888888884e-01,2.4999999999971982e-02,2.4999999999969123e-02,1.2070204302595444e+02,1.1816874951340012e+02
branch0_seg10,1.0000000000000000e+00,2.4999999999978637e-02,2.4999999999976565e-02,1.2070204340932324e+02,1.1816874989561001e+02
branch0_seg11,0.0000000000000000e+00,2.4999999991147222e-02,2.4999999990340464e-02,1.1816875679104402e+02,1.1563689256112559e+02
branch0_seg11,1.1111111111111116e-01,2.5000000006511106e-02,2.5000000007102226e-02,1.1816874685847588e+02,1.1563688265845525e+02
branch0_seg11,2.2222222222222210e-01,2.4999999995608421e-02,2.4999999995210524e-02,1.1816875048587390e+02,1.1563688627610891e+02
branch0_seg11,3.3333333333333326e-01,2.5000000002750482e-02,2.5000000002999425e-02,1.1816874998860513e+02,1.1563688577903693e+02
branch0_seg11,4.4444444444444442e-01,2.4999999998399691e-02,2.4999999998254908e-02,1.1816874917860702e+02,1.1563688497254411e+02
branch0_seg11,5.5555555555555536e-01,2.5000000000855224e-02,2.5000000000932610e-02,1.1816875034188911e+02,1.1563688613155520e+02
branch0_seg11,6.6666666666666652e-01,2.4999999999593462e-02,2.4999999999556641e-02,1.1816874926197092e+02,1.1563688505540125e+02
branch0_seg11,7.7777777777777768e-01,2.5000000000156768e-02,2.5000000000171010e-02,1.1816875010507670e+02,1.1563688589564450e+02
branch0_seg11,8.8888888888888884e-01,2.4999999999969123e-02,2.4999999999966268e-02,1.1816874951340012e+02,1.1563688530594561e+02
branch0_seg11,1.0000000000000000e+00,2.4999999999976565e-02,2.4999999999974497e-02,1.1816874989561001e+02,1.1563688568689015e+02
branch0_seg12,0.0000000000000000e+00,2.4999999990340464e-02,2.4999999989537079e-02,1.1563689256112559e+02,1.1310444205490508e+02
branch0_seg12,1.1111111111111116e-01,2.5000000007102226e-02,2.5000000007690943e-02,1.1563688265845525e+02,1.1310443218441252e+02
branch0_seg12,2.2222222222222210e-01,2.4999999995210524e-02,2.4999999994814212e-02,1.1563688627610891e+02,1.1310443579163883e+02
branch0_seg12,3.3333333333333326e-01,2.5000000002999425e-02,2.5000000003247393e-02,1.1563688577903693e+02,1.1310443529470480e+02
branch0_seg12,4.4444444444444442e-01,2.4999999998254908e-02,2.4999999998110686e-02,1.1563688497254411e+02,1.1310443449205165e+02
branch0_seg12,5.5555555555555536e-01,2.5000000000932610e-02,2.5000000001009697e-02,1.1563688613155520e+02,1.1310443564641282e+02
branch0_seg12,6.6666666666666652e-01,2.4999999999556641e-02,2.4999999999519958e-02,1.1563688505540125e+02,1.1310443457434897e+02
