name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,2.4999999999977263e-02,2.4999999999184723e-02,8.2992800798430537e+01,8.2726356577614638e+01
branch0_seg0,1.1111111111111116e-01,2.5000000000011371e-02,2.5000000000835684e-02,8.2992789908153327e+01,8.2726345688187749e+01
branch0_seg0,2.2222222222222210e-01,2.4999999999994318e-02,2.4999999999313294e-02,8.2992795547669729e+01,8.2726351327274514e+01
branch0_seg0,3.3333333333333326e-01,2.5000000000002843e-02,2.5000000000500587e-02,8.2992792980799436e+01,8.2726348760521802e+01
branch0_seg0,4.4444444444444442e-01,2.4999999999998582e-02,2.4999999999664849e-02,8.2992793888406254e+01,8.2726349668189442e+01
branch0_seg0,5.5555555555555536e-01,2.4999999999998582e-02,2.4999999999664849e-02,8.2992793888406254e+01,8.2726349668189442e+01
branch0_seg0,6.6666666666666652e-01,2.5000000000000709e-02,2.5000000000151189e-02,8.2992793674555685e+01,8.2726349454236896e+01
branch0_seg0,7.7777777777777768e-01,2.5000000000000709e-02,2.5000000000151189e-02,8.2992793674555685e+01,8.2726349454236896e+01
branch0_seg0,8.8888888888888884e-01,2.5000000000000709e-02,2.5000000000151189e-02,8.2992793674555685e+01,8.2726349454236896e+01
branch0_seg0,1.0000000000000000e+00,2.5000000000000709e-02,2.5000000000151189e-02,8.2992793674555685e+01,8.2726349454236896e+01
branch0_seg1,0.0000000000000000e+00,2.4999999999184723e-02,2.4999999998387860e-02,8.2726356577614638e+01,8.2457914124027170e+01
branch0_seg1,1.1111111111111116e-01,2.5000000000835684e-02,2.5000000001660711e-02,8.2726345688187749e+01,8.2457903239002832e+01
branch0_seg1,2.2222222222222210e-01,2.4999999999313294e-02,2.4999999998632855e-02,8.2726351327274514e+01,8.2457908875825410e+01
branch0_seg1,3.3333333333333326e-01,2.5000000000500587e-02,2.5000000000997481e-02,8.2726348760521802e+01,8.2457906310036520e+01
branch0_seg1,4.4444444444444442e-01,2.4999999999664849e-02,2.4999999999331841e-02,8.2726349668189442e+01,8.2457907217448778e+01
branch0_seg1,5.5555555555555536e-01,2.4999999999664849e-02,2.4999999999331841e-02,8.2726349668189442e+01,8.2457907217448778e+01
branch0_seg1,6.6666666666666652e-01,2.5000000000151189e-02,2.5000000000301361e-02,8.2726349454236896e+01,8.2457907003483825e+01
branch0_seg1,7.7777777777777768e-01,2.5000000000151189e-02,2.5000000000301361e-02,8.2726349454236896e+01,8.2457907003483825e+01
branch0_seg1,8.8888888888888884e-01,2.5000000000151189e-02,2.5000000000301361e-02,8.2726349454236896e+01,8.2457907003483825e+01
branch0_seg1,1.0000000000000000e+00,2.5000000000151189e-02,2.5000000000301361e-02,8.2726349454236896e+01,8.2457907003483825e+01
branch0_seg2,0.0000000000000000e+00,2.4999999998387860e-02,2.4999999997605934e-02,8.2457914124027170e+01,8.2174810115691841e+01
branch0_seg2,1.1111111111111116e-01,2.5000000001660711e-02,2.5000000002467104e-02,8.2457903239002832e+01,8.2174799238661350e+01
branch0_seg2,2.2222222222222210e-01,2.4999999998632855e-02,2.4999999997968772e-02,8.2457908875825410e+01,8.2174804871369560e+01
branch0_seg2,3.3333333333333326e-01,2.5000000000997481e-02,2.5000000001482069e-02,8.2457906310036520e+01,8.2174802307391360e+01
branch0_seg2,4.4444444444444442e-01,2.4999999999331841e-02,2.4999999999007212e-02,8.2457907217448778e+01,8.2174803214238935e+01
branch0_seg2,5.5555555555555536e-01,2.4999999999331841e-02,2.4999999999007212e-02,8.2457907217448778e+01,8.2174803214238935e+01
branch0_seg2,6.6666666666666652e-01,2.5000000000301361e-02,2.5000000000447779e-02,8.2457907003483825e+01,8.2174803000343758e+01
branch0_seg2,7.7777777777777768e-01,2.5000000000301361e-02,2.5000000000447779e-02,8.2457907003483825e+01,8.2174803000343758e+01
branch0_seg2,8.8888888888888884e-01,2.5000000000301361e-02,2.5000000000447779e-02,8.2457907003483825e+01,8.2174803000343758e+01
branch0_seg2,1.0000000000000000e+00,2.5000000000301361e-02,2.5000000000447779e-02,8.2457907003483825e+01,8.2174803000343758e+01
branch0_seg3,0.0000000000000000e+00,2.4999999997605934e-02,2.4999999996839543e-02,8.2174810115691841e+01,8.1876340441624365e+01
branch0_seg3,1.1111111111111116e-01,2.5000000002467104e-02,2.5000000003254780e-02,8.2174799238661350e+01,8.1876329576201954e+01
branch0_seg3,2.2222222222222210e-01,2.4999999997968772e-02,2.4999999997320946e-02,8.2174804871369560e+01,8.1876335202937597e+01
branch0_seg3,3.3333333333333326e-01,2.5000000001482069e-02,2.5000000001954490e-02,8.2174802307391360e+01,8.1876332641616230e+01
branch0_seg3,4.4444444444444442e-01,2.4999999999007212e-02,2.4999999998690851e-02,8.2174803214238935e+01,8.1876333547594683e+01
branch0_seg3,5.5555555555555536e-01,2.4999999999007212e-02,2.4999999998690851e-02,8.2174803214238935e+01,8.1876333547594683e+01
branch0_seg3,6.6666666666666652e-01,2.5000000000447779e-02,2.5000000000590477e-02,8.2174803000343758e+01,8.1876333333846674e+01
