name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,6.0333299999945127e-02,6.0333300000146618e-02,8.4396023244308549e+02,8.3697381919182749e+02
branch0_seg0,1.1111111111111116e-01,6.0333300000027436e-02,6.0333300000017569e-02,8.4396021932206418e+02,8.3697380605434739e+02
branch0_seg0,2.2222222222222210e-01,6.0333299999986281e-02,6.0333299999917510e-02,8.4396022781363536e+02,8.3697381455426864e+02
branch0_seg0,3.3333333333333326e-01,6.0333300000006862e-02,6.0333300000094535e-02,8.4396022270047399e+02,8.3697380943682742e+02
branch0_seg0,4.4444444444444442e-01,6.0333299999996565e-02,6.0333299999917260e-02,8.4396022555491959e+02,8.3697381229351231e+02
branch0_seg0,5.5555555555555536e-01,6.0333300000001713e-02,6.0333300000063345e-02,8.4396022410356136e+02,8.3697381084094513e+02
branch0_seg0,6.6666666666666652e-01,6.0333299999999139e-02,6.0333299999955660e-02,8.4396022474395375e+02,8.3697381148201646e+02
branch0_seg0,7.7777777777777768e-01,6.0333299999999139e-02,6.0333299999955660e-02,8.4396022474395375e+02,8.3697381148201646e+02
branch0_seg0,8.8888888888888884e-01,6.0333300000000430e-02,6.0333300000020455e-02,8.4396022450527619e+02,8.3697381124296271e+02
branch0_seg0,1.0000000000000000e+00,6.0333300000000430e-02,6.0333300000020455e-02,8.4396022450527619e+02,8.3697381124296271e+02
branch0_seg1,0.0000000000000000e+00,6.0333300000146618e-02,6.0333300000331429e-02,8.3697381919182749e+02,8.3017663456880166e+02
branch0_seg1,1.1111111111111116e-01,6.0333300000017569e-02,6.0333300000017832e-02,8.3697380605434739e+02,8.3017662142012819e+02
branch0_seg1,2.2222222222222210e-01,6.0333299999917510e-02,6.0333299999842480e-02,8.3697381455426864e+02,8.3017662992541830e+02
branch0_seg1,3.3333333333333326e-01,6.0333300000094535e-02,6.0333300000186135e-02,8.3697380943682742e+02,8.3017662480531635e+02
branch0_seg1,4.4444444444444442e-01,6.0333299999917260e-02,6.0333299999835499e-02,8.3697381229351231e+02,8.3017662766341471e+02
branch0_seg1,5.5555555555555536e-01,6.0333300000063345e-02,6.0333300000126489e-02,8.3697381084094513e+02,8.3017662621001932e+02
branch0_seg1,6.6666666666666652e-01,6.0333299999955660e-02,6.0333299999911244e-02,8.3697381148201646e+02,8.3017662685162509e+02
branch0_seg1,7.7777777777777768e-01,6.0333299999955660e-02,6.0333299999911244e-02,8.3697381148201646e+02,8.3017662685162509e+02
branch0_seg1,8.8888888888888884e-01,6.0333300000020455e-02,6.0333300000040932e-02,8.3697381124296271e+02,8.3017662661223790e+02
branch0_seg1,1.0000000000000000e+00,6.0333300000020455e-02,6.0333300000040932e-02,8.3697381124296271e+02,8.3017662661223790e+02
branch0_seg2,0.0000000000000000e+00,6.0333300000331429e-02,6.0333300000496137e-02,8.3017663456880166e+02,8.2303381721973244e+02
branch0_seg2,1.1111111111111116e-01,6.0333300000017832e-02,6.0333300000026582e-02,8.3017662142012819e+02,8.2303380406411702e+02
branch0_seg2,2.2222222222222210e-01,6.0333299999842480e-02,6.0333299999764653e-02,8.3017662992541830e+02,8.2303381257233718e+02
branch0_seg2,3.3333333333333326e-01,6.0333300000186135e-02,6.0333300000277999e-02,8.3017662480531635e+02,8.2303380745089953e+02
branch0_seg2,4.4444444444444442e-01,6.0333299999835499e-02,6.0333299999754376e-02,8.3017662766341471e+02,8.2303381030974788e+02
branch0_seg2,5.5555555555555536e-01,6.0333300000126489e-02,6.0333300000188834e-02,8.3017662621001932e+02,8.2303380885581362e+02
branch0_seg2,6.6666666666666652e-01,6.0333299999911244e-02,6.0333299999867508e-02,8.3017662685162509e+02,8.2303380949786208e+02
branch0_seg2,7.7777777777777768e-01,6.0333299999911244e-02,6.0333299999867508e-02,8.3017662685162509e+02,8.2303380949786208e+02
branch0_seg2,8.8888888888888884e-01,6.0333300000040932e-02,6.0333300000061110e-02,8.3017662661223790e+02,8.2303380925815509e+02
branch0_seg2,1.0000000000000000e+00,6.0333300000040932e-02,6.0333300000061110e-02,8.3017662661223790e+02,8.2303380925815509e+02
branch0_seg3,0.0000000000000000e+00,6.0333300000496137e-02,6.0333300000644227e-02,8.2303381721973244e+02,8.1560918553676981e+02
branch0_seg3,1.1111111111111116e-01,6.0333300000026582e-02,6.0333300000042389e-02,8.2303380406411702e+02,8.1560917237807712e+02
branch0_seg3,2.2222222222222210e-01,6.0333299999764653e-02,6.0333299999684467e-02,8.2303381257233718e+02,8.1560918088701146e+02
branch0_seg3,3.3333333333333326e-01,6.0333300000277999e-02,6.0333300000370148e-02,8.2303380745089953e+02,8.1560917576543454e+02
branch0_seg3,4.4444444444444442e-01,6.0333299999754376e-02,6.0333299999673733e-02,8.2303381030974788e+02,8.1560917862444410e+02
branch0_seg3,5.5555555555555536e-01,6.0333300000188834e-02,6.0333300000250549e-02,8.2303380885581362e+02,8.1560917717021630e+02
branch0_seg3,6.6666666666666652e-01,6.0333299999867508e-02,6.0333299999824321e-02,8.2303380949786208e+02,8.1560917781264197e+02
branch0_seg3,7.7777777777777768e-01,6.0333299999867508e-02,6.0333299999824321e-02,8.2303380949786208e+02,8.1560917781264197e+02
branch0_seg3,8.8888888888888884e-01,6.0333300000061110e-02,6.0333300000081039e-02,8.2303380925815509e+02,8.1560917757261393e+02
branch0_seg3,1.0000000000000000e+00,6.0333300000061110e-02,6.0333300000081039e-02,8.2303380925815509e+02,8.1560917757261393e+02
branch0_seg4,0.0000000000000000e+00,6.0333300000644227e-02,6.0333300000777072e-02,8.1560918553676981e+02,8.0772830551647201e+02
branch0_seg4,1.1111111111111116e-01,6.0333300000042389e-02,6.0333300000063775e-02,8.1560917237807712e+02,8.0772829235813765e+02
branch0_seg4,2.2222222222222210e-01,6.0333299999684467e-02,6.0333299999603268e-02,8.1560918088701146e+02,8.0772830086580495e+02
