name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,6.0332999999945125e-02,6.0332999999782672e-02,1.2475083503559213e+03,7.3964817450742078e+02
branch0_seg0,1.1111111111111116e-01,6.0333000000027434e-02,6.0333000000118334e-02,1.2475083652231929e+03,7.3964818923211089e+02
branch0_seg0,2.2222222222222210e-01,6.0332999999986280e-02,6.0332999999944105e-02,1.2475083498399192e+03,7.3964817392409952e+02
branch0_seg0,3.3333333333333326e-01,6.0333000000006860e-02,6.0333000000020065e-02,1.2475083624535125e+03,7.3964818649790425e+02
branch0_seg0,4.4444444444444442e-01,6.0332999999996563e-02,6.0332999999998187e-02,1.2475083533813211e+03,7.3964817744674110e+02
branch0_seg0,5.5555555555555536e-01,6.0333000000001719e-02,6.0332999999994114e-02,1.2475083592899925e+03,7.3964818334433346e+02
branch0_seg0,6.6666666666666652e-01,6.0332999999999137e-02,6.0333000000007860e-02,1.2475083557826424e+03,7.3964817984278056e+02
branch0_seg0,7.7777777777777768e-01,6.0333000000000428e-02,6.0332999999992844e-02,1.2475083576563536e+03,7.3964818171349339e+02
branch0_seg0,8.8888888888888884e-01,6.0332999999999783e-02,6.0333000000005500e-02,1.2475083567949005e+03,7.3964818085356399e+02
branch0_seg0,1.0000000000000000e+00,6.0333000000000102e-02,6.0332999999996202e-02,1.2475083570870843e+03,7.3964818114499269e+02
branch0_seg1,0.0000000000000000e+00,6.0332999999782672e-02,6.0332999999527862e-02,7.3964817450742078e+02,5.2261053922699637e+02
branch0_seg1,1.1111111111111116e-01,6.0333000000118334e-02,6.0333000000260532e-02,7.3964818923211089e+02,5.2261055386460987e+02
branch0_seg1,2.2222222222222210e-01,6.0332999999944105e-02,6.0332999999876895e-02,7.3964817392409952e+02,5.2261053860343486e+02
branch0_seg1,3.3333333333333326e-01,6.0333000000020065e-02,6.0333000000043061e-02,7.3964818649790425e+02,5.2261055115195870e+02
branch0_seg1,4.4444444444444442e-01,6.0332999999998187e-02,6.0332999999997965e-02,7.3964817744674110e+02,5.2261054211440933e+02
branch0_seg1,5.5555555555555536e-01,6.0332999999994114e-02,6.0332999999984857e-02,7.3964818334433346e+02,5.2261054800474449e+02
branch0_seg1,6.6666666666666652e-01,6.0333000000007860e-02,6.0333000000019281e-02,7.3964817984278056e+02,5.2261054450698384e+02
branch0_seg1,7.7777777777777768e-01,6.0332999999992844e-02,6.0332999999982664e-02,7.3964818171349339e+02,5.2261054637577888e+02
branch0_seg1,8.8888888888888884e-01,6.0333000000005500e-02,6.0333000000013272e-02,7.3964818085356399e+02,5.2261054551677091e+02
branch0_seg1,1.0000000000000000e+00,6.0332999999996202e-02,6.0332999999990866e-02,7.3964818114499269e+02,5.2261054580779205e+02
branch0_seg2,0.0000000000000000e+00,6.0332999999527862e-02,6.0332999999180063e-02,5.2261053922699637e+02,3.9108377788040070e+02
branch0_seg2,1.1111111111111116e-01,6.0333000000260532e-02,6.0333000000454259e-02,5.2261055386460987e+02,3.9108379246116414e+02
branch0_seg2,2.2222222222222210e-01,6.0332999999876895e-02,6.0332999999784385e-02,5.2261053860343486e+02,3.9108377723170042e+02
branch0_seg2,3.3333333333333326e-01,6.0333000000043061e-02,6.0333000000076145e-02,5.2261055115195870e+02,3.9108378976243199e+02
branch0_seg2,4.4444444444444442e-01,6.0332999999997965e-02,6.0332999999995550e-02,5.2261054211440933e+02,3.9108378073480509e+02
branch0_seg2,5.5555555555555536e-01,6.0332999999984857e-02,6.0332999999974275e-02,5.2261054800474449e+02,3.9108378661971534e+02
branch0_seg2,6.6666666666666652e-01,6.0333000000019281e-02,6.0333000000033145e-02,5.2261054450698384e+02,3.9108378312481500e+02
branch0_seg2,7.7777777777777768e-01,6.0332999999982664e-02,6.0332999999970098e-02,5.2261054637577888e+02,3.9108378499218821e+02
branch0_seg2,8.8888888888888884e-01,6.0333000000013272e-02,6.0333000000022945e-02,5.2261054551677091e+02,3.9108378413382093e+02
branch0_seg2,1.0000000000000000e+00,6.0332999999990866e-02,6.0332999999984205e-02,5.2261054580779205e+02,3.9108378442460395e+02
branch0_seg3,0.0000000000000000e+00,6.0332999999180063e-02,6.0332999998726579e-02,3.9108377788040070e+02,3.0665282667306997e+02
branch0_seg3,1.1111111111111116e-01,6.0333000000454259e-02,6.0333000000706502e-02,3.9108379246116414e+02,3.0665284121719674e+02
branch0_seg3,2.2222222222222210e-01,6.0332999999784385e-02,6.0332999999663163e-02,3.9108377723170042e+02,3.0665282600956846e+02
branch0_seg3,3.3333333333333326e-01,6.0333000000076145e-02,6.0333000000120707e-02,3.9108378976243199e+02,3.0665283852723996e+02
branch0_seg3,4.4444444444444442e-01,6.0332999999995550e-02,6.0332999999990651e-02,3.9108378073480509e+02,3.0665282950730040e+02
branch0_seg3,5.5555555555555536e-01,6.0332999999974275e-02,6.0332999999962188e-02,3.9108378661971534e+02,3.0665283538784024e+02
branch0_seg3,6.6666666666666652e-01,6.0333000000033145e-02,6.0333000000049777e-02,3.9108378312481500e+02,3.0665283189529021e+02
branch0_seg3,7.7777777777777768e-01,6.0332999999970098e-02,6.0332999999954812e-02,3.9108378499218821e+02,3.0665283376150416e+02
branch0_seg3,8.8888888888888884e-01,6.0333000000022945e-02,6.0333000000034762e-02,3.9108378413382093e+02,3.0665283290362862e+02
branch0_seg3,1.0000000000000000e+00,6.0332999999984205e-02,6.0332999999976038e-02,3.9108378442460395e+02,3.0665283319426698e+02
branch0_seg4,0.0000000000000000e+00,6.0332999998726579e-02,6.0332999998155050e-02,3.0665282667306997e+02,2.5031328887979441e+02
branch0_seg4,1.1111111111111116e-01,6.0333000000706502e-02,6.0333000001024033e-02,3.0665284121719674e+02,2.5031330340100661e+02
branch0_seg4,2.2222222222222210e-01,6.0332999999663163e-02,6.0332999999509931e-02,3.0665282600956846e+02,2.5031328820873318e+02
branch0_seg4,3.3333333333333326e-01,6.0333000000120707e-02,6.0333000000178050e-02,3.0665283852723996e+02,2.5031330071630077e+02
branch0_seg4,4.4444444444444442e-01,6.0332999999990651e-02,6.0332999999982963e-02,3.0665282950730040e+02,2.5031329170274589e+02
branch0_seg4,5.5555555555555536e-01,6.0332999999962188e-02,6.0332999999948442e-02,3.0665283538784024e+02,2.5031329757947603e+02
