name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,4.0468310453009859e-02,4.0465703150171568e-02,6.8241153410525044e+02,6.6727599180417860e+02
branch0_seg0,1.0101012121212172e-02,5.0100368407027675e-02,5.0097822120234760e-02,7.8359720912158355e+02,7.6598173758878693e+02
branch0_seg0,2.0202024242423899e-02,6.0625400702223615e-02,6.0623005127221692e-02,8.8085701312519689e+02,8.6075951023418622e+02
branch0_seg0,3.0303036363636071e-02,7.1846574337912639e-02,7.1844418476798760e-02,9.7071277636707339e+02,9.4820263489527611e+02
branch0_seg0,4.0404048484848243e-02,8.3521681856108254e-02,8.3519850200819132e-02,1.0497768571360937e+03,1.0249981195654725e+03
branch0_seg0,5.0505060606060415e-02,9.5371284559420275e-02,9.5369853246626224e-02,1.1149005515439794e+03,1.0880727291376465e+03
branch0_seg0,6.0606072727272586e-02,1.0708896865687909e-01,1.0708800194361666e-01,1.1633170559689290e+03,1.1347333110553295e+03
branch0_seg0,7.0707084848484758e-02,1.1835323690095334e-01,1.1835278409553961e-01,1.1927706236475633e+03,1.1627930069031470e+03
branch0_seg0,8.0808096969696930e-02,1.2884047022992143e-01,1.2884056308781433e-01,1.2016288498447375e+03,1.1706803330366397e+03
branch0_seg0,9.0909109090909102e-02,1.3823833458702944e-01,1.3823898536916696e-01,1.1889736465210451e+03,1.1575268176355371e+03
branch0_seg0,1.0101012121212083e-01,1.4625898058193368e-01,1.4626018095890039e-01,1.1546636669435659e+03,1.1232261604528342e+03
branch0_seg0,1.1111113333333300e-01,1.5265138948221507e-01,1.5265311031952053e-01,1.0993637605103747e+03,1.0684607674968120e+03
branch0_seg0,1.2121214545454517e-01,1.5721225793070082e-01,1.5721444999350589e-01,1.0245394533447925e+03,9.9469396547087956e+02
branch0_seg0,1.3131315757575734e-01,1.5979488383203969e-01,1.5979747951329390e-01,9.3241327322281199e+02,9.0412502086812390e+02
branch0_seg0,1.4141416969696952e-01,1.6031561346574605e-01,1.6031852949305075e-01,8.2588169081357933e+02,7.9960599236307519e+02
branch0_seg0,1.5151518181818169e-01,1.5875753008727717e-01,1.5876067105675640e-01,7.0839607925726182e+02,6.8452398004188854e+02
branch0_seg0,1.6161619393939386e-01,1.5517120089213857e-01,1.5517446351854816e-01,5.8381242979959393e+02,5.6265354222392091e+02
branch0_seg0,1.7171720606060603e-01,1.4967244524389267e-01,1.4967572313051083e-01,4.5621593319873074e+02,4.3798527603589406e+02
branch0_seg0,1.8181821818181820e-01,1.4243723499547045e-01,1.4244042361122361e-01,3.2973039098589652e+02,3.1454026739854817e+02
branch0_seg0,1.9191923030302993e-01,1.3369397997171062e-01,1.3369698154712548e-01,2.0832414971190659e+02,1.9618172401453697e+02
branch0_seg0,2.0202024242424210e-01,1.2371358091622953e-01,1.2371630899168683e-01,9.5623675945871611e+01,8.6434449936045510e+01
branch0_seg0,2.1212125454545427e-01,1.1279774182195992e-01,1.1280012514477730e-01,-5.2537398374605226e+00,-1.1676836515644444e+01
branch0_seg0,2.2222226666666645e-01,1.0126611793408807e-01,1.0126810344773152e-01,-9.1837043727717983e+01,-9.5759691489754232e+01
branch0_seg0,2.3232327878787862e-01,8.9442930536580062e-02,8.9444485313360911e-02,-1.6240011662206416e+02,-1.6414888929517389e+02
branch0_seg0,2.4242429090909079e-01,7.7643702138571150e-02,7.7644814157671244e-02,-2.1601699974025897e+02,-2.1595926407110417e+02
branch0_seg0,2.5252530303030296e-01,6.6162754754053713e-02,6.6163432485359955e-02,-2.5257087031578175e+02,-2.5109378304240224e+02
branch0_seg0,2.6262631515151513e-01,5.5262070251314882e-02,5.5262341119492554e-02,-2.7271748143944535e+02,-2.7020753120983011e+02
branch0_seg0,2.7272732727272730e-01,4.5162037562843649e-02,4.5161945438284230e-02,-2.7780734890283992e+02,-2.7463172847592790e+02
branch0_seg0,2.8282833939393903e-01,3.6034510788933785e-02,3.6034112679171948e-02,-2.6977298064398860e+02,-2.6626381746171700e+02
branch0_seg0,2.9292935151515120e-01,2.7998480173698152e-02,2.7997842338756806e-02,-2.5098905215799550e+02,-2.4743121289044623e+02
branch0_seg0,3.0303036363636338e-01,2.1118520948959798e-02,2.1117714698701082e-02,-2.2411500352424676e+02,-2.2073786214338764e+02
branch0_seg0,3.1313137575757555e-01,1.5406040263966983e-02,1.5405137677329622e-02,-1.9192979027293495e+02,-1.8890304614283897e+02
branch0_seg0,3.2323238787878772e-01,1.0823197379215336e-02,1.0822267167347140e-02,-1.5716785334024559e+02,-1.5460123181641714e+02
branch0_seg0,3.3333339999999989e-01,7.2892345317872734e-03,7.2883382604267992e-03,-1.2236484753432630e+02,-1.2031132360256451e+02
branch0_seg0,3.4343441212121206e-01,4.6888325252891216e-03,4.6880213754691702e-03,-8.9720740447765451e+01,-8.8182796453506811e+01
branch0_seg0,3.5353542424242423e-01,2.8820025445778297e-03,2.8813147450199570e-03,-6.0986314452603096e+01,-5.9924666458427744e+01
branch0_seg0,3.6363643636363641e-01,1.7149492394891142e-03,1.7144082788951044e-03,-3.7377754767331048e+01,-3.6721943132512834e+01
branch0_seg0,3.7373744848484813e-01,1.0312936928936875e-03,1.0309073884199273e-03,-1.9522869857914106e+01,-1.9183092121004311e+01
branch0_seg0,3.8383846060606031e-01,6.8303084641272143e-04,6.8279129740942866e-04,-7.4409793868968199e+00,-7.3205351425057579e+00
branch0_seg0,3.9393947272727248e-01,5.4061497141077335e-04,5.4049939183135887e-04,-5.5696444385734778e-01,-5.6467688397616911e-01
branch0_seg0,4.0404048484848465e-01,5.0161778707030421e-04,5.0159017856219075e-04,2.2513147365980779e+00,2.1893358694546357e+00
branch0_seg0,4.1414149696969682e-01,4.9748411572731149e-04,4.9749769782338215e-04,2.5745255274304149e+00,2.5044014959111007e+00
branch0_seg0,4.2424250909090899e-01,4.9801527560933774e-04,4.9801554616611633e-04,2.3662834166540874e+00,2.2977483770324767e+00
branch0_seg0,4.3434352121212116e-01,5.1333518522862407e-04,5.1326345344618958e-04,3.8159206725840842e+00,3.7160781722749014e+00
branch0_seg0,4.4444453333333334e-01,5.9323181971971252e-04,5.9302902256890672e-04,9.2062947593227857e+00,8.9961436456479440e+00
branch0_seg0,4.5454554545454551e-01,8.2390997299014283e-04,8.2352055936555312e-04,2.0764478302478771e+01,2.0318446968892452e+01
branch0_seg0,4.6464655757575724e-01,1.3223327018924754e-03,1.3217083625933280e-03,4.0513824412022508e+01,3.9662365448841193e+01
branch0_seg0,4.7474756969696941e-01,2.2284609195408031e-03,2.2275639498027448e-03,7.0135891058091431e+01,6.8670988502392277e+01
branch0_seg0,4.8484858181818158e-01,3.6958164106672747e-03,3.6946225096716697e-03,1.1085021431063969e+02,1.0853346489959694e+02
branch0_seg0,4.9494959393939375e-01,5.8808869578580985e-03,5.8793873048146664e-03,1.6331887816499537e+02,1.5989164942431270e+02
branch0_seg0,5.0505060606060592e-01,8.9316563087171192e-03,8.9298600827036872e-03,2.2755473403872045e+02,2.2275040798174854e+02
branch0_seg0,5.1515161818181809e-01,1.2977543542973854e-02,1.2975471179632974e-02,3.0301497421849899e+02,2.9656884021164586e+02
branch0_seg0,5.2525263030303027e-01,1.8117641586411649e-02,1.8115341013923796e-02,3.8837175825766843e+02,3.8003808276078564e+02
branch0_seg0,5.3535364242424244e-01,2.4412076099472019e-02,2.4409599333293154e-02,4.8173958795493024e+02,4.7129966151546006e+02
branch0_seg0,5.4545465454545417e-01,3.1874763160766824e-02,3.1872181474477304e-02,5.8071463931973801e+02,5.6799074461328189e+02
branch0_seg0,5.5555566666666634e-01,4.0468013698252064e-02,4.0465406167382062e-02,6.8240948798877196e+02,6.6727403480796340e+02
branch0_seg0,5.6565667878787851e-01,5.0100039997654278e-02,5.0097493734329028e-02,7.8359809682246248e+02,7.6598269600580522e+02
branch0_seg0,5.7575769090909068e-01,6.0625043917984220e-02,6.0622648753596110e-02,8.8084951881962786e+02,8.6075210766668590e+02
