name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,6.1309758099811845e-02,6.1309668009067952e-02,1.2732943941644938e+02,1.2646467604434284e+02
branch0_seg0,1.0144927536232018e-01,6.5105456771624048e-02,6.5105563473555006e-02,1.2574562587147209e+02,1.2492108068207433e+02
branch0_seg0,2.0289855072464036e-01,7.0740277718199560e-02,7.0739719806350992e-02,1.5441629259158279e+02,1.5335762445969735e+02
branch0_seg0,3.0434782608695699e-01,7.4570721289901110e-02,7.4571421158032766e-02,1.3867479899325545e+02,1.3779478382344774e+02
branch0_seg0,4.0579710144927716e-01,7.7991310378223738e-02,7.7990451224405483e-02,1.5970678349692753e+02,1.5864587452268734e+02
branch0_seg0,5.0724637681159734e-01,8.0011058277325908e-02,8.0011880816599601e-02,1.4727391218268420e+02,1.4635347595370928e+02
branch0_seg0,6.0869565217391397e-01,8.0987329275092737e-02,8.0986646602961732e-02,1.5424916045403285e+02,1.5325956952645785e+02
branch0_seg0,7.1014492753623415e-01,8.0766154697305942e-02,8.0766761109814691e-02,1.4513106172098446e+02,1.4423663329313695e+02
branch0_seg0,8.1159420289855433e-01,7.9599301301425340e-02,7.9598928899684063e-02,1.4315917520227725e+02,1.4226484240229235e+02
branch0_seg0,9.1304347826087096e-01,7.7655741029813791e-02,7.7656093876281182e-02,1.3564538513740968e+02,1.3481712948033118e+02
branch0_seg0,1.0144927536231911e+00,7.5222562531996010e-02,7.5222414232072030e-02,1.3046211402000020e+02,1.2965826463399677e+02
branch0_seg0,1.1159420289855078e+00,7.2555594742050783e-02,7.2555770946035880e-02,1.2453011091743102e+02,1.2376960399298247e+02
branch0_seg0,1.2173913043478279e+00,6.9901878635959855e-02,6.9901839028580520e-02,1.1973805292354170e+02,1.1900022604551275e+02
branch0_seg0,1.3188405797101481e+00,6.7443110544038690e-02,6.7443188327599643e-02,1.1575274716236524e+02,1.1503909266096947e+02
branch0_seg0,1.4202898550724647e+00,6.5291699638441475e-02,6.5291698343072052e-02,1.1254387028363382e+02,1.1184394547001713e+02
branch0_seg0,1.5217391304347849e+00,6.3475789884195929e-02,6.3475823462820283e-02,1.1007129256500217e+02,1.0938416907663455e+02
branch0_seg0,1.6231884057971016e+00,6.1947634396469692e-02,6.1947646812379485e-02,1.0781730906086658e+02,1.0714050061582510e+02
branch0_seg0,1.7246376811594217e+00,6.0597713617535902e-02,6.0597737596563048e-02,1.0557499803965342e+02,1.0491115446465672e+02
branch0_seg0,1.8260869565217419e+00,5.9279627880252192e-02,5.9279653405894889e-02,1.0286442244906927e+02,1.0221728968593676e+02
branch0_seg0,1.9275362318840585e+00,5.7840994032752779e-02,5.7841027498465536e-02,9.9507328845623704e+01,9.8882839007880605e+01
branch0_seg0,2.0289855072463787e+00,5.6153960365281599e-02,5.6154001371238764e-02,9.5329213994397932e+01,9.4733296366892532e+01
branch0_seg0,2.1304347826086989e+00,5.4142585394782297e-02,5.4142631832415904e-02,9.0418118451596030e+01,8.9855906569055676e+01
branch0_seg0,2.2318840579710155e+00,5.1802751417153722e-02,5.1802801347190883e-02,8.5003814946943464e+01,8.4478073545064518e+01
branch0_seg0,2.3333333333333357e+00,4.9211651286920684e-02,4.9211699414540289e-02,7.9504548111555209e+01,7.9014759486524113e+01
branch0_seg0,2.4347826086956559e+00,4.6525372767034036e-02,4.6525414641458311e-02,7.4449368377143529e+01,7.3990983767398191e+01
branch0_seg0,2.5362318840579725e+00,4.3965189556158406e-02,4.3965219388052375e-02,7.0425692476075298e+01,6.9989973159704803e+01
branch0_seg0,2.6376811594202927e+00,4.1791283679748839e-02,4.1791297262380588e-02,6.7982689020736473e+01,6.7557208540959550e+01
branch0_seg0,2.7391304347826093e+00,4.0272077320278890e-02,4.0272070760977795e-02,6.7584105895299331e+01,6.7153527471111630e+01
branch0_seg0,2.8405797101449295e+00,3.9649061714009545e-02,3.9649033575747873e-02,6.9521526242295394e+01,6.9069064903193492e+01
branch0_seg0,2.9420289855072497e+00,4.0103823893813853e-02,4.0103773993602702e-02,7.3894087731168270e+01,7.3403007960788401e+01
branch0_seg0,3.0434782608695663e+00,4.1730718788898703e-02,4.1730649456877281e-02,8.0576768280409922e+01,8.0032119921913974e+01
