name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.0000000000000000e+00,2.4999999999977263e-02,2.4999999999917432e-02,4.7040439525246548e+01,4.3367482229833399e+01
branch0_seg0,1.1111111111111116e-01,2.5000000000011371e-02,2.5000000000112276e-02,4.7040432241561099e+01,4.3367474940486815e+01
branch0_seg0,2.2222222222222210e-01,2.4999999999994318e-02,2.4999999999897198e-02,4.7040436265106230e+01,4.3367478966902105e+01
branch0_seg0,3.3333333333333326e-01,2.5000000000002843e-02,2.5000000000080055e-02,4.7040434239882948e+01,4.3367476940169063e+01
branch0_seg0,4.4444444444444442e-01,2.4999999999998579e-02,2.4999999999943567e-02,4.7040435122913422e+01,4.3367477824033408e+01
branch0_seg0,5.5555555555555536e-01,2.4999999999998579e-02,2.4999999999943567e-02,4.7040435122913422e+01,4.3367477824033408e+01
branch0_seg0,6.6666666666666652e-01,2.4999999999998579e-02,2.4999999999943567e-02,4.7040435122913422e+01,4.3367477824033408e+01
branch0_seg0,7.7777777777777768e-01,2.4999999999998579e-02,2.4999999999943567e-02,4.7040435122913422e+01,4.3367477824033408e+01
branch0_seg0,8.8888888888888884e-01,2.4999999999998579e-02,2.4999999999943567e-02,4.7040435122913422e+01,4.3367477824033408e+01
branch0_seg0,1.0000000000000000e+00,2.4999999999998579e-02,2.4999999999943567e-02,4.7040435122913422e+01,4.3367477824033408e+01
branch0_seg1,0.0000000000000000e+00,2.4999999999917432e-02,2.4999999999839217e-02,4.3367482229833399e+01,4.0728865681414050e+01
branch0_seg1,1.1111111111111116e-01,2.5000000000112276e-02,2.5000000000233641e-02,4.3367474940486815e+01,4.0728858391318042e+01
branch0_seg1,2.2222222222222210e-01,2.4999999999897198e-02,2.4999999999782491e-02,4.3367478966902105e+01,4.0728862417972856e+01
branch0_seg1,3.3333333333333326e-01,2.5000000000080055e-02,2.5000000000170556e-02,4.3367476940169063e+01,4.0728860391084964e+01
branch0_seg1,4.4444444444444442e-01,2.4999999999943567e-02,2.4999999999879337e-02,4.3367477824033408e+01,4.0728861275122100e+01
branch0_seg1,5.5555555555555536e-01,2.4999999999943567e-02,2.4999999999879337e-02,4.3367477824033408e+01,4.0728861275122100e+01
branch0_seg1,6.6666666666666652e-01,2.4999999999943567e-02,2.4999999999879337e-02,4.3367477824033408e+01,4.0728861275122100e+01
branch0_seg1,7.7777777777777768e-01,2.4999999999943567e-02,2.4999999999879337e-02,4.3367477824033408e+01,4.0728861275122100e+01
branch0_seg1,8.8888888888888884e-01,2.4999999999943567e-02,2.4999999999879337e-02,4.3367477824033408e+01,4.0728861275122100e+01
