name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,0.00E+00,2.50E-02,2.50E-02,1.30E+02,1.25E+02
branch0_seg0,3.33E-01,2.50E-02,2.50E-02,1.30E+02,1.25E+02
branch0_seg0,6.67E-01,2.50E-02,2.50E-02,1.30E+02,1.25E+02
branch0_seg0,1.00E+00,2.50E-02,2.50E-02,1.30E+02,1.25E+02
branch0_seg1,0.00E+00,2.50E-02,2.50E-02,1.25E+02,1.24E+02
branch0_seg1,3.33E-01,2.50E-02,2.50E-02,1.25E+02,1.24E+02
branch0_seg1,6.67E-01,2.50E-02,2.50E-02,1.25E+02,1.24E+02
branch0_seg1,1.00E+00,2.50E-02,2.50E-02,1.25E+02,1.24E+02
branch0_seg2,0.00E+00,2.50E-02,2.50E-02,1.24E+02,1.23E+02
branch0_seg2,3.33E-01,2.50E-02,2.50E-02,1.24E+02,1.23E+02
branch0_seg2,6.67E-01,2.50E-02,2.50E-02,1.24E+02,1.23E+02
branch0_seg2,1.00E+00,2.50E-02,2.50E-02,1.24E+02,1.23E+02
branch0_seg3,0.00E+00,2.50E-02,2.50E-02,1.23E+02,1.23E+02
branch0_seg3,3.33E-01,2.50E-02,2.50E-02,1.23E+02,1.23E+02
branch0_seg3,6.67E-01,2.50E-02,2.50E-02,1.23E+02,1.23E+02
branch0_seg3,1.00E+00,2.50E-02,2.50E-02,1.23E+02,1.23E+02
branch0_seg4,0.00E+00,2.50E-02,2.50E-02,1.23E+02,1.22E+02
branch0_seg4,3.33E-01,2.50E-02,2.50E-02,1.23E+02,1.22E+02
branch0_seg4,6.67E-01,2.50E-02,2.50E-02,1.23E+02,1.22E+02
branch0_seg4,1.00E+00,2.50E-02,2.50E-02,1.23E+02,1.22E+02
branch0_seg5,0.00E+00,2.50E-02,2.50E-02,1.22E+02,1.21E+02
branch0_seg5,3.33E-01,2.50E-02,2.50E-02,1.22E+02,1.21E+02
branch0_seg5,6.67E-01,2.50E-02,2.50E-02,1.22E+02,1.21E+02
branch0_seg5,1.00E+00,2.50E-02,2.50E-02,1.22E+02,1.21E+02
branch0_seg6,0.00E+00,2.50E-02,2.50E-02,1.21E+02,1.20E+02
branch0_seg6,3.33E-01,2.50E-02,2.50E-02,1.21E+02,1.20E+02
branch0_seg6,6.67E-01,2.50E-02,2.50E-02,1.21E+02,1.20E+02
branch0_seg6,1.00E+00,2.50E-02,2.50E-02,1.21E+02,1.20E+02
branch0_seg7,0.00E+00,2.50E-02,2.50E-02,1.20E+02,1.20E+02
branch0_seg7,3.33E-01,2.50E-02,2.50E-02,1.20E+02,1.20E+02
branch0_seg7,6.67E-01,2.50E-02,2.50E-02,1.20E+02,1.20E+02
branch0_seg7,1.00E+00,2.50E-02,2.50E-02,1.20E+02,1.20E+02
branch0_seg8,0.00E+00,2.50E-02,2.50E-02,1.20E+02,1.19E+02
branch0_seg8,3.33E-01,2.50E-02,2.50E-02,1.20E+02,1.19E+02
branch0_seg8,6.67E-01,2.50E-02,2.50E-02,1.20E+02,1.19E+02
branch0_seg8,1.00E+00,2.50E-02,2.50E-02,1.20E+02,1.19E+02
branch0_seg9,0.00E+00,2.50E-02,2.50E-02,1.19E+02,1.19E+02
branch0_seg9,3.33E-01,2.50E-02,2.50E-02,1.19E+02,1.19E+02
branch0_seg9,6.67E-01,2.50E-02,2.50E-02,1.19E+02,1.19E+02
branch0_seg9,1.00E+00,2.50E-02,2.50E-02,1.19E+02,1.19E+02
branch0_seg10,0.00E+00,2.50E-02,2.50E-02,1.19E+02,1.18E+02
